ts_code,trade_date,close,total_share,float_share,total_mv,circ_mv
002178.SZ,20210527,3.49,71215.3001,71125.6616,248541.3973,248228.559
002178.SZ,20210526,3.56,71215.3001,71125.6616,253526.4684,253207.3553
002178.SZ,20210525,3.52,71215.3001,71125.6616,250677.8564,250362.3288
002178.SZ,20210524,3.56,71215.3001,71125.6616,253526.4684,253207.3553
002178.SZ,20210521,3.51,71215.3001,71125.6616,249965.7034,249651.0722
002178.SZ,20210520,3.19,71215.3001,71125.6616,227176.8073,226890.8605
002178.SZ,20210519,3.16,71215.3001,71125.6616,225040.3483,224757.0907
002178.SZ,20210518,3.24,71215.3001,71125.6616,230737.5723,230447.1436
002178.SZ,20210517,3.32,71215.3001,71125.6616,236434.7963,236137.1965
002178.SZ,20210514,3.4,71215.3001,71125.6616,242132.0203,241827.2494
002178.SZ,20210513,3.46,71215.3001,71125.6616,246404.9383,246094.7891
002178.SZ,20210512,3.54,71215.3001,71125.6616,252102.1624,251784.8421
002178.SZ,20210511,3.46,71215.3001,71125.6616,246404.9383,246094.7891
002178.SZ,20210510,3.28,71215.3001,71125.6616,233586.1843,233292.17
002178.SZ,20210507,3.09,71215.3001,71125.6616,220055.2773,219778.2943
002178.SZ,20210506,3.11,71215.3001,71125.6616,221479.5833,221200.8076
002178.SZ,20210430,3.09,71215.3001,71125.6616,220055.2773,219778.2943
002178.SZ,20210429,3.13,71215.3001,71125.6616,222903.8893,222623.3208
002178.SZ,20210428,3.15,71215.3001,71125.6616,224328.1953,224045.834
002178.SZ,20210427,3.05,71215.3001,71125.6616,217206.6653,216933.2679
002178.SZ,20210426,3.15,71215.3001,71125.6616,224328.1953,224045.834
002178.SZ,20210423,3.32,71215.3001,71125.6616,236434.7963,236137.1965
002178.SZ,20210422,3.31,71215.3001,71125.6616,235722.6433,235425.9399
002178.SZ,20210421,3.35,71215.3001,71125.6616,238571.2553,238270.9664
002178.SZ,20210420,3.42,71215.3001,71125.6616,243556.3263,243249.7627
002178.SZ,20210419,3.5,71215.3001,71125.6616,249253.5504,248939.8156
002178.SZ,20210416,3.36,71215.3001,71125.6616,239283.4083,238982.223
002178.SZ,20210415,3.23,71215.3001,71125.6616,230025.4193,229735.887
002178.SZ,20210414,3.28,71215.3001,71125.6616,233586.1843,233292.17
002178.SZ,20210413,3.32,71215.3001,71125.6616,236434.7963,236137.1965
002178.SZ,20210412,3.42,71215.3001,71125.6616,243556.3263,243249.7627
002178.SZ,20210409,3.44,71215.3001,71125.6616,244980.6323,244672.2759
002178.SZ,20210408,3.52,71215.3001,71125.6616,250677.8564,250362.3288
002178.SZ,20210407,3.68,71215.3001,71125.6616,262072.3044,261742.4347
002178.SZ,20210406,3.76,71215.3001,71125.6616,267769.5284,267432.4876
002178.SZ,20210402,3.71,71215.3001,71125.6616,264208.7634,263876.2045
002178.SZ,20210401,3.94,71215.3001,71125.6616,280588.2824,280235.1067
002178.SZ,20210331,3.65,71215.3001,71125.6616,259935.8454,259608.6648
002178.SZ,20210330,3.55,71215.3001,71125.6616,252814.3154,252496.0987
002178.SZ,20210329,3.62,71215.3001,71125.6616,257799.3864,257474.895
002178.SZ,20210326,3.66,71215.3001,71125.6616,260647.9984,260319.9215
002178.SZ,20210325,3.69,71215.3001,71125.6616,262784.4574,262453.6913
002178.SZ,20210324,3.91,71215.3001,71125.6616,278451.8234,278101.3369
002178.SZ,20210323,3.84,71215.3001,71125.6616,273466.7524,273122.5405
