ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
002375.SZ,20210528,6.92,0.4775,1.0262,0.89,1.107,0.8596,0.825,133999.6498,133099.1211,61930.3183,927277.5766,921045.918
002375.SZ,20210527,6.94,0.4641,0.9974,0.89,1.1102,0.8621,0.8274,133999.6498,133099.1211,61930.3183,929957.5696,923707.9004
002375.SZ,20210526,6.89,0.2948,0.6336,0.49,1.1022,0.8559,0.8214,133999.6498,133099.1211,61930.3183,923257.5871,917052.9444
002375.SZ,20210525,6.91,0.5514,1.1851,0.8,1.1054,0.8584,0.8238,133999.6498,133099.1211,61930.3183,925937.5801,919714.9268
002375.SZ,20210524,6.94,0.5879,1.2634,0.81,1.1102,0.8621,0.8274,133999.6498,133099.1211,61930.3183,929957.5696,923707.9004
002375.SZ,20210521,6.74,0.4772,1.0256,0.55,1.0782,0.8372,0.8035,133999.6498,133099.1211,61930.3183,903157.6397,897088.0762
002375.SZ,20210520,6.79,0.7093,1.5245,0.74,1.0862,0.8434,0.8095,133999.6498,133099.1211,61930.3183,909857.6221,903743.0323
002375.SZ,20210519,7.0,0.6607,1.42,0.7,1.1198,0.8695,0.8345,133999.6498,133099.1211,61930.3183,937997.5486,931693.8477
002375.SZ,20210518,6.94,1.0229,2.1984,1.17,1.1102,0.8621,0.8274,133999.6498,133099.1211,61930.3183,929957.5696,923707.9004
002375.SZ,20210517,6.71,0.7574,1.6277,0.8,1.0734,0.8335,0.8,133999.6498,133099.1211,61930.3183,899137.6502,893095.1026
002375.SZ,20210514,6.76,1.2009999999999998,2.5811,1.26,1.0814,0.8397,0.8059,133999.6498,133099.1211,61930.3183,905837.6326,899750.0586
002375.SZ,20210513,6.45,1.1223,2.4121,1.23,1.0318,0.8012,0.769,133999.6498,133099.1211,61930.3183,864297.7412,858489.3311
002375.SZ,20210512,6.66,0.6446,1.3854,0.73,1.0654,0.8273,0.794,133999.6498,133099.1211,61930.3183,892437.6677,886440.1465
002375.SZ,20210511,6.66,0.6353,1.3654,0.62,1.0654,0.8273,0.794,133999.6498,133099.1211,61930.3183,892437.6677,886440.1465
002375.SZ,20210510,6.65,1.1036,2.3719,1.11,1.0638,0.8261,0.7928,133999.6498,133099.1211,61930.3183,891097.6712,885109.1553
002375.SZ,20210507,6.8,1.2607,2.7095,1.58,1.0878,0.8447,0.8107,133999.6498,133099.1211,61930.3183,911197.6186,905074.0235
002375.SZ,20210506,7.15,0.9287,1.9958,1.32,1.1438,0.8882,0.8524,133999.6498,133099.1211,61930.3183,958097.4961,951658.7159
002375.SZ,20210430,7.48,0.5063,1.0882,0.72,1.1966,0.9292,0.8918,133999.6498,133099.1211,61930.3183,1002317.3805,995581.4258
