ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000027.SZ,20210528,10.8,3.2961,12.7081,,12.8963,12.1028,1.8853,2.5119,2.2758,0.3858,0.3858,475738.9916,475738.9916,123393.2166,5137981.1093,5137981.1093
000027.SZ,20210527,10.84,3.89,14.9978,0.85,12.9441,12.1476,1.8923,2.5212,2.2843,0.3844,0.3844,475738.9916,475738.9916,123393.2166,5157010.6689,5157010.6689
000027.SZ,20210526,10.96,4.6317,17.8572,1.0,13.0874,12.2821,1.9133,2.5491,2.3095,0.3802,0.3802,475738.9916,475738.9916,123393.2166,5214099.3479,5214099.3479
000027.SZ,20210525,10.4,3.2809,12.6492,0.68,12.4187,11.6545,1.8155,2.4189,2.1915,0.4006,0.4006,475738.9916,475738.9916,123393.2166,4947685.5126,4947685.5126
000027.SZ,20210524,10.6,4.4357,17.1017,1.02,12.6575,11.8786,1.8504,2.4654,2.2337,0.3931,0.3931,475738.9916,475738.9916,123393.2166,5042833.311,5042833.311
000027.SZ,20210521,11.11,4.6069,17.7617,1.16,13.2665,12.4501,1.9394,2.584,2.3411,0.375,0.375,475738.9916,475738.9916,123393.2166,5285460.1967,5285460.1967
000027.SZ,20210520,10.98,6.0,23.1328,1.82,13.1113,12.3045,1.9167,2.5538,2.3138,0.3795,0.3795,475738.9916,475738.9916,123393.2166,5223614.1278,5223614.1278
000027.SZ,20210519,11.28,4.9316,19.0134,1.76,13.4695,12.6407,1.9691,2.6235,2.377,0.3694,0.3694,475738.9916,475738.9916,123393.2166,5366335.8252,5366335.8252
000027.SZ,20210518,10.38,4.0358,15.5601,1.36,12.3948,11.6321,1.812,2.4142,2.1873,0.4014,0.4014,475738.9916,475738.9916,123393.2166,4938170.7328,4938170.7328
000027.SZ,20210517,9.89,2.1768,8.3927,0.66,11.8097,11.083,1.7265,2.3003,2.0841,0.4213,0.4213,475738.9916,475738.9916,123393.2166,4705058.6269,4705058.6269
000027.SZ,20210514,9.76,2.6837,10.3471,0.81,11.6545,10.9373,1.7038,2.27,2.0567,0.4269,0.4269,475738.9916,475738.9916,123393.2166,4643212.558,4643212.558
000027.SZ,20210513,9.62,2.6345,10.1574,0.8,11.4873,10.7804,1.6793,2.2375,2.0272,0.4331,0.4331,475738.9916,475738.9916,123393.2166,4576609.0992,4576609.0992
000027.SZ,20210512,9.69,2.4489,9.4417,0.77,11.5709,10.8589,1.6916,2.2537,2.0419,0.43,0.43,475738.9916,475738.9916,123393.2166,4609910.8286,4609910.8286
000027.SZ,20210511,9.95,4.9304,19.0091,1.92,11.8814,11.1502,1.7369,2.3142,2.0967,0.4188,0.4188,475738.9916,475738.9916,123393.2166,4733602.9664,4733602.9664
000027.SZ,20210510,9.55,3.7373,14.4089,1.76,11.4037,10.702,1.6671,2.2212,2.0124,0.4363,0.4363,475738.9916,475738.9916,123393.2166,4543307.3698,4543307.3698
000027.SZ,20210507,8.82,2.7707,10.6823,1.41,10.532,9.8839,1.5397,2.0514,1.8586,0.4724,0.4724,475738.9916,475738.9916,123393.2166,4196017.9059,4196017.9059
