ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
003035.SZ,20210528,11.06,10.6164,10.6164,0.72,7.5017,20.8547,19.7966,378787.8787,75757.5757,75757.5757,4189393.9384,837878.7872
003035.SZ,20210527,11.16,12.2332,12.2332,0.64,7.5696,21.0432,19.9756,378787.8787,75757.5757,75757.5757,4227272.7263,845454.5448
003035.SZ,20210526,11.25,15.5655,15.5655,0.77,7.6306,21.2129,20.1367,378787.8787,75757.5757,75757.5757,4261363.6354,852272.7266
003035.SZ,20210525,11.06,13.915999999999999,13.915999999999999,0.72,7.5017,20.8547,19.7966,378787.8787,75757.5757,75757.5757,4189393.9384,837878.7872
003035.SZ,20210524,11.33,21.0803,21.0803,1.26,7.6849,21.3638,20.2799,378787.8787,75757.5757,75757.5757,4291666.6657,858333.3327
003035.SZ,20210521,11.49,24.9347,24.9347,1.85,7.7934,21.6655,20.5663,378787.8787,75757.5757,75757.5757,4352272.7263,870454.5448
003035.SZ,20210520,10.89,20.2599,20.2599,1.77,7.3864,20.5341,19.4923,378787.8787,75757.5757,75757.5757,4124999.999,824999.9994
003035.SZ,20210519,11.13,20.3462,20.3462,2.03,7.5492,20.9867,19.9219,378787.8787,75757.5757,75757.5757,4215909.0899,843181.8175
003035.SZ,20210518,10.4,9.8191,9.8191,0.78,7.0541,19.6102,18.6152,378787.8787,75757.5757,75757.5757,3939393.9385,787878.7873
003035.SZ,20210517,10.17,8.6171,8.6171,0.57,6.8981,19.1765,18.2036,378787.8787,75757.5757,75757.5757,3852272.7264,770454.5449
003035.SZ,20210514,10.43,8.3565,8.3565,0.52,7.0744,19.6667,18.6689,378787.8787,75757.5757,75757.5757,3950757.5748,790151.5146
003035.SZ,20210513,10.42,9.95,9.95,0.6,7.0677,19.6479,18.651,378787.8787,75757.5757,75757.5757,3946969.6961,789393.9388
003035.SZ,20210512,10.69,13.3056,13.3056,0.83,7.2508,20.157,19.1343,378787.8787,75757.5757,75757.5757,4049242.4233,809848.4842
003035.SZ,20210511,11.19,22.8791,22.8791,1.75,7.5899,21.0998,20.0293,378787.8787,75757.5757,75757.5757,4238636.3627,847727.2721
003035.SZ,20210510,10.8,20.9049,20.9049,1.94,7.3254,20.3644,19.3312,378787.8787,75757.5757,75757.5757,4090909.09,818181.8176
003035.SZ,20210507,10.01,12.7054,12.7054,1.15,6.7896,18.8748,17.9172,378787.8787,75757.5757,75757.5757,3791666.6658,758333.3328
003035.SZ,20210506,10.1,12.9988,12.9988,1.22,6.8506,19.0445,18.0783,378787.8787,75757.5757,75757.5757,3825757.5749,765151.5146
003035.SZ,20210430,9.78,10.857000000000001,10.857000000000001,0.96,6.6336,18.4411,17.5055,378787.8787,75757.5757,75757.5757,3704545.4537,740909.0903
003035.SZ,20210429,10.09,7.7437,7.7437,0.64,6.8438,19.0256,18.0604,378787.8787,75757.5757,75757.5757,3821969.6961,764393.9388
003035.SZ,20210428,10.18,9.5096,9.5096,0.71,6.9049,19.1953,18.2215,378787.8787,75757.5757,75757.5757,3856060.6052,771212.1206
003035.SZ,20210427,10.12,13.9971,13.9971,1.0,6.8642,19.0822,18.1141,378787.8787,75757.5757,75757.5757,3833333.3324,766666.6661
003035.SZ,20210426,10.91,10.984000000000002,10.984000000000002,0.75,7.5,20.5718,20.5718,378787.8787,75757.5757,75757.5757,4132575.7566,826515.1509
003035.SZ,20210423,10.82,14.3385,14.3385,0.98,7.4381,20.4021,20.4021,378787.8787,75757.5757,75757.5757,4098484.8475,819696.9691
003035.SZ,20210422,11.2,11.272,11.272,0.67,7.6993,21.1186,21.1186,378787.8787,75757.5757,75757.5757,4242424.2414,848484.8478
003035.SZ,20210421,11.46,16.4047,16.4047,0.83,7.877999999999999,21.6089,21.6089,378787.8787,75757.5757,75757.5757,4340909.0899,868181.8175
003035.SZ,20210420,11.99,17.2481,17.2481,0.83,8.2424,22.6083,22.6083,378787.8787,75757.5757,75757.5757,4541666.6656,908333.3326
003035.SZ,20210419,11.93,13.5544,13.5544,0.59,8.2011,22.4951,22.4951,378787.8787,75757.5757,75757.5757,4518939.3929,903787.8781
003035.SZ,20210416,11.87,14.74,14.74,0.59,8.1599,22.381999999999998,22.381999999999998,378787.8787,75757.5757,75757.5757,4496212.1202,899242.4236
003035.SZ,20210415,12.12,22.7789,22.7789,0.8,8.3318,22.8534,22.8534,378787.8787,75757.5757,75757.5757,4590909.0898,918181.8175
003035.SZ,20210414,12.8,30.171999999999997,30.171999999999997,1.1,8.7992,24.1356,24.1356,378787.8787,75757.5757,75757.5757,4848484.8474,969696.969
003035.SZ,20210413,12.22,23.0345,23.0345,0.79,8.4005,23.0419,23.0419,378787.8787,75757.5757,75757.5757,4628787.8777,925757.5751
003035.SZ,20210412,13.29,24.2723,24.2723,0.82,9.3697,25.0595,25.0595,378787.8787,75757.5757,75757.5757,5034090.9079,1006818.1811
003035.SZ,20210409,13.25,23.8156,23.8156,0.75,9.3415,33.2733,24.965,378787.8787,75757.5757,75757.5757,5018939.3928,1003787.878
003035.SZ,20210408,13.32,41.8562,41.8562,1.34,9.3909,33.449,25.0969,378787.8787,75757.5757,75757.5757,5045454.5443,1009090.9083
003035.SZ,20210407,14.17,23.9184,23.9184,0.68,9.9902,35.5836,26.6984,378787.8787,75757.5757,75757.5757,5367424.2412,1073484.8477
003035.SZ,20210406,12.88,31.8986,31.8986,0.82,9.0807,32.3441,24.2679,378787.8787,75757.5757,75757.5757,4878787.8777,975757.575
003035.SZ,20210402,12.15,27.3633,27.3633,0.67,8.566,30.511,22.8924,378787.8787,75757.5757,75757.5757,4602272.7262,920454.5448
003035.SZ,20210401,12.82,32.6973,32.6973,0.76,9.0384,32.1935,24.1548,378787.8787,75757.5757,75757.5757,4856060.6049,971212.1205
003035.SZ,20210331,13.45,40.8147,40.8147,0.91,9.4825,33.7755,25.3418,378787.8787,75757.5757,75757.5757,5094696.9685,1018939.3932
003035.SZ,20210330,13.22,41.9555,41.9555,0.91,9.3204,33.1979,24.9085,378787.8787,75757.5757,75757.5757,5007575.7564,1001515.1508
003035.SZ,20210329,14.26,50.911,50.911,1.29,10.0536,35.8096,26.868000000000002,378787.8787,75757.5757,75757.5757,5401515.1503,1080303.0295
003035.SZ,20210326,12.96,36.6411,36.6411,0.97,9.1371,32.545,24.4186,378787.8787,75757.5757,75757.5757,4909090.908,981818.1811
003035.SZ,20210325,13.55,46.159,46.159,1.25,9.552999999999999,34.0266,25.5303,378787.8787,75757.5757,75757.5757,5132575.7564,1026515.1507
003035.SZ,20210324,13.07,49.3325,49.3325,1.34,9.2146,32.8212,24.6259,378787.8787,75757.5757,75757.5757,4950757.5746,990151.5144
003035.SZ,20210323,14.42,48.6246,48.6246,1.38,10.1664,36.2114,27.1695,378787.8787,75757.5757,75757.5757,5462121.2109,1092424.2416
003035.SZ,20210322,13.11,16.6451,16.6451,0.4,9.2428,32.9217,24.7012,378787.8787,75757.5757,75757.5757,4965909.0898,993181.8174
003035.SZ,20210319,11.92,27.4807,27.4807,0.67,8.4039,29.9334,22.4591,378787.8787,75757.5757,75757.5757,4515151.5141,903030.3023
003035.SZ,20210318,10.84,42.0516,42.0516,1.07,7.6424,27.2213,20.4242,378787.8787,75757.5757,75757.5757,4106060.6051,821212.1206
003035.SZ,20210317,9.85,48.943000000000005,48.943000000000005,1.37,6.9445,24.7352,18.5589,378787.8787,75757.5757,75757.5757,3731060.6052,746212.1206
003035.SZ,20210316,9.41,40.626,40.626,1.11,6.6343,23.6303,17.7299,378787.8787,75757.5757,75757.5757,3564393.9386,712878.7873
003035.SZ,20210315,8.55,48.0235,48.0235,1.6,6.0279,21.4707,16.1095,378787.8787,75757.5757,75757.5757,3238636.3629,647727.2722
003035.SZ,20210312,8.69,25.3356,25.3356,0.82,6.1266,21.8222,16.3733,378787.8787,75757.5757,75757.5757,3291666.6659,658333.3328
003035.SZ,20210311,7.9,34.4232,34.4232,1.11,5.5697,19.8384,14.8848,378787.8787,75757.5757,75757.5757,2992424.2417,598484.848
003035.SZ,20210310,7.3,30.7557,30.7557,0.93,5.1467,18.3317,13.7543,378787.8787,75757.5757,75757.5757,2765151.5145,553030.3026
003035.SZ,20210309,7.67,43.9984,43.9984,1.4,5.4075,19.2608,14.4514,378787.8787,75757.5757,75757.5757,2905303.0296,581060.6056
003035.SZ,20210308,7.63,16.0286,16.0286,0.46,5.3793,19.1604,14.3761,378787.8787,75757.5757,75757.5757,2890151.5145,578030.3026
003035.SZ,20210305,6.94,29.7051,29.7051,0.85,4.8928,17.4277,13.075999999999999,378787.8787,75757.5757,75757.5757,2628787.8782,525757.5754
003035.SZ,20210304,7.61,33.9252,33.9252,1.06,5.3652,19.1102,14.3384,378787.8787,75757.5757,75757.5757,2882575.7569,576515.1511
003035.SZ,20210303,7.74,42.1056,42.1056,1.51,5.4569,19.4366,14.5833,378787.8787,75757.5757,75757.5757,2931818.1811,586363.6359
003035.SZ,20210302,7.54,35.516,35.516,1.37,5.3159,18.9344,14.2065,378787.8787,75757.5757,75757.5757,2856060.6054,571212.1208
003035.SZ,20210301,6.85,32.1098,32.1098,1.26,4.8294,17.2016,12.9064,378787.8787,75757.5757,75757.5757,2594696.9691,518939.3935
