股票代码,交易日期,指数
603098.SH,20210104,8.28
603098.SH,20210105,8.43
603098.SH,20210106,8.25
603098.SH,20210107,7.98
603098.SH,20210108,8.24
603098.SH,20210111,8.01
603098.SH,20210112,8.0
603098.SH,20210113,7.93
603098.SH,20210114,7.94
603098.SH,20210115,8.02
603098.SH,20210118,8.17
603098.SH,20210119,8.28
603098.SH,20210120,8.26
603098.SH,20210121,8.2
603098.SH,20210122,8.16
603098.SH,20210125,8.18
603098.SH,20210126,8.18
603098.SH,20210127,8.25
603098.SH,20210128,8.31
603098.SH,20210129,8.26
603098.SH,20210201,8.3
603098.SH,20210202,8.3
603098.SH,20210203,8.29
603098.SH,20210204,8.23
603098.SH,20210205,8.18
603098.SH,20210208,8.06
603098.SH,20210209,8.12
603098.SH,20210210,8.4
603098.SH,20210218,8.45
603098.SH,20210219,8.59
603098.SH,20210222,8.65
603098.SH,20210223,8.59
603098.SH,20210224,8.66
603098.SH,20210225,8.75
603098.SH,20210226,9.25
603098.SH,20210301,9.28
603098.SH,20210302,8.9
603098.SH,20210303,9.11
603098.SH,20210304,9.56
603098.SH,20210305,10.52
603098.SH,20210308,11.57
603098.SH,20210309,12.73
603098.SH,20210310,14.0
603098.SH,20210311,15.4
603098.SH,20210312,14.68
603098.SH,20210315,14.44
603098.SH,20210316,15.88
603098.SH,20210317,14.53
603098.SH,20210318,15.98
603098.SH,20210319,17.58
603098.SH,20210322,17.75
603098.SH,20210323,16.96
603098.SH,20210324,15.72
603098.SH,20210325,15.79
603098.SH,20210326,15.48
603098.SH,20210329,16.19
603098.SH,20210330,16.8
603098.SH,20210331,18.48
603098.SH,20210401,18.22
603098.SH,20210402,17.15
603098.SH,20210406,18.23
603098.SH,20210407,18.34
603098.SH,20210408,19.21
603098.SH,20210409,20.34
603098.SH,20210412,18.9
603098.SH,20210413,17.98
603098.SH,20210414,18.49
603098.SH,20210415,18.2
603098.SH,20210416,18.23
603098.SH,20210419,19.14
603098.SH,20210420,19.69
603098.SH,20210421,21.66
603098.SH,20210422,21.65
603098.SH,20210423,21.88
603098.SH,20210426,21.27
603098.SH,20210427,20.88
603098.SH,20210428,21.62
603098.SH,20210429,20.05
603098.SH,20210430,20.61
603098.SH,20210506,20.14
603098.SH,20210507,19.9
603098.SH,20210510,21.61
603098.SH,20210511,23.5
603098.SH,20210512,22.89
603098.SH,20210513,22.84
603098.SH,20210514,23.0
603098.SH,20210517,23.59
603098.SH,20210518,23.69
603098.SH,20210519,24.15
603098.SH,20210520,24.69
603098.SH,20210521,23.83
603098.SH,20210524,23.18
603098.SH,20210525,23.16
603098.SH,20210526,23.15
603098.SH,20210527,23.5
603098.SH,20210528,23.13
